article_index,Excluded?,coder_1,coder_2,coder_3,coder_4,notes
Prosecutions.40,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.41,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.42,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.43,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.44,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.45,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.46,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.47,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.48,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.49,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.50,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.51,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.52,0,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.53,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.54,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
